#{"t_start": 1755909186.35625, "env_id": "None"}
r,l,t
-1.882884,200,4.739996
-0.062828,200,6.800613
1.321884,200,11.993241
-1.839975,200,14.221504
-1.583957,200,16.433792
0.006802,200,19.165361
-1.248364,200,21.450014
-1.259957,200,24.319297
0.819938,200,26.478775
1.166655,200,28.645809
0.743916,200,31.831634
-0.284748,200,34.073158
-1.277177,200,36.860281
-0.036808,200,39.172854
-0.537299,200,41.362807
0.466791,200,44.439837
1.464878,200,46.667452
0.216937,200,49.460138
1.44865,200,51.870473
1.611069,200,54.104339
6.291357,185,57.339091
4.631138,200,59.719729
3.49586,200,61.976846
3.808563,200,64.722882
3.805186,200,66.975626
3.729492,200,70.003263
